N,T,As,Vs,GPSd,A7,V7,H7,S7,A8,V8,H8,S8,A5,V5,H5,S5,A6,V6,H6,S6,A3,V3,H3,S3,A4,V4,H4,S4,A1,V1,H1,S1,A2,V2,H2,S2
3983,161.2,-3.66539,5.27,17079,-50.446,-6.528,46.8516,-0.758154,-51.48,-8.208,-613.241,-0.762946,-48.862,-9.6,28.2223,-0.690801,-47.52,-6.432,-114.89,-0.795825,-52.118,-6.36,5.6891,0.696471,-49.28,-6.12,33.3706,-0.682753,-45.892,-2.4,-329.425,-0.748641,-46.794,-7.584,22.9239,-0.732417
3984,161.24,-4.45505,5.27,17079,-52.712,-6.264,62.7965,-0.770574,-53.482,-7.68,-603.098,-0.783977,-51.37,-8.952,36.2938,-0.708852,-49.346,-5.4,-108.209,-0.811143,-54.758,-6.768,22.1289,0.680656,-51.7,-5.184,50.394,-0.711402,-49.126,-2.712,-320.074,-0.781264,-48.796,-6.984,39.8464,-0.75941
3985,161.28,-4.98541,5.27,17079,-54.714,-6.744,75.3246,-0.7743,-55.198,-7.824,-585.711,-0.791677,-53.24,-8.16,47.594,-0.716883,-50.622,-5.112,-104.868,-0.818181,-56.716,-7.464,34.6544,0.674446,-53.372,-5.016,51.8743,-0.729452,-52.052,-3.408,-287.347,-0.803785,-50.314,-6.384,57.5747,-0.775142
3986,161.32,-4.29004,5.29,17079,-56.144,-7.8,92.4084,-0.769828,-55.748,-8.424,-572.67,-0.785964,-53.966,-7.92,79.8802,-0.713488,-51.524,-5.208,-90.3915,-0.816857,-57.552,-8.856,40.1343,0.67809,-54.582,-5.184,79.2599,-0.735248,-54.12,-4.848,-267.088,-0.814384,-51.282,-6.216,72.8855,-0.778289
3987,161.36,-4.27826,5.29,17079,-56.826,-9.336,107.214,-0.757905,-55.528,-9.408,-530.65,-0.7675,-54.34,-8.256,113.781,-0.698502,-52.25,-5.52,-74.8012,-0.8075,-57.882,-10.536,60.4883,0.691586,-55.396,-6.192,98.5038,-0.730528,-54.978,-6.672,-248.387,-0.815626,-51.546,-6.648,62.4097,-0.770588
3988,161.4,-4.80862,5.32,17080,-56.65,-10.992,92.4084,-0.738696,-54.736,-10.68,-537.895,-0.738934,-53.636,-9.168,100.059,-0.6754,-52.316,-6.504,-73.6876,-0.791354,-57.596,-12.504,29.9573,0.713528,-55.242,-7.728,99.2439,-0.715624,-55.418,-8.88,-242.153,-0.805938,-51.062,-7.56,63.2155,-0.752538
3989,161.44,-5.43917,5.32,17080,-55.11,-12.288,74.1857,-0.711206,-52.646,-12.024,-546.588,-0.699438,-51.656,-10.344,94.409,-0.644268,-51.612,-8.424,-68.1197,-0.767756,-55.396,-14.088,52.6599,0.744412,-53.922,-9.648,71.1182,-0.690039,-54.362,-10.824,-287.347,-0.782175,-49.588,-8.832,67.2447,-0.723558
3990,161.48,-4.04254,5.32,17080,-52.25,-13.056,151.632,-0.675768,-49.742,-13.368,-471.242,-0.650752,-48.796,-12.072,130.731,-0.605434,-49.874,-10.656,-70.3469,-0.735464,-51.238,-15.528,149.733,0.783991,-51.546,-11.664,102.945,-0.654021,-51.348,-12.216,-217.218,-0.744583,-46.926,-10.44,114.789,-0.681827
3991,161.52,-0.978198,5.33,17081,-48.048,-14.04,238.19,-0.63238,-46.332,-14.664,-349.529,-0.594034,-45.144,-13.824,267.14,-0.561716,-46.926,-12.816,19.8539,-0.694478,-47.3,-15.984,324.307,0.830359,-48.576,-13.68,212.487,-0.610137,-47.366,-13.176,-112.804,-0.693579,-43.648,-12.48,229.217,-0.630656
3992,161.56,0.960587,5.33,17081,-44,-14.904,388.528,-0.583611,-42.746,-15.96,-248.101,-0.533259,-41.228,-15.648,451.979,-0.518163,-43.318,-14.712,195.801,-0.650511,-44.198,-16.44,459.74,0.877886,-45.166,-15.336,370.139,-0.56261,-43.846,-13.92,25.8951,-0.632721,-39.842,-14.688,389.577,-0.577002
3993,161.6,2.57526,5.32,17081,-40.326,-15.792,493.308,-0.534262,-39.006,-16.944,-161.162,-0.472815,-37.202,-17.328,586.774,-0.477094,-39.556,-16.32,363.953,-0.607041,-40.92,-17.664,541.939,0.922764,-41.536,-16.296,515.948,-0.514834,-40.15,-14.88,144.335,-0.568716,-35.904,-16.368,533.821,-0.523099
3994,161.64,2.19222,5.32,17081,-36.652,-16.824,551.393,-0.488557,-35.002,-17.232,-77.1222,-0.418001,-33.176,-18.648,673.946,-0.439089,-35.794,-17.352,457.495,-0.564151,-36.872,-18.624,606.915,0.963501,-37.884,-17.064,615.869,-0.467721,-36.322,-15.672,205.113,-0.506947,-32.01,-17.28,649.861,-0.472757
3995,161.68,1.77971,5.32,17081,-32.56,-17.832,600.367,-0.447488,-30.8,-17.592,-4.67368,-0.369729,-29.018,-19.704,723.99,-0.399097,-31.988,-18.264,515.401,-0.521675,-32.802,-19.44,657.8,0.999436,-34.1,-17.616,666.939,-0.420774,-32.252,-16.224,250.308,-0.450809,-27.786,-18.048,737.697,-0.424981
3996,161.72,2.35133,5.3,17081,-28.402,-18.6,636.812,-0.411139,-26.29,-18.072,51.8362,-0.326424,-24.596,-20.616,755.469,-0.356289,-27.852,-19.176,543.241,-0.480192,-28.6,-20.04,698.508,1.03223,-30.052,-18.024,698.765,-0.375399,-27.984,-16.584,284.593,-0.398976,-23.452,-18.648,777.183,-0.379441
3997,161.76,2.84633,5.3,17081,-23.958,-19.344,659.591,-0.376197,-21.406,-18.336,93.8563,-0.288502,-19.8,-21.024,786.141,-0.310832,-23.562,-19.968,545.468,-0.440696,-24.024,-20.328,737.65,1.06385,-25.85,-18.36,712.828,-0.332178,-23.562,-16.824,295.502,-0.349213,-18.92,-19.056,787.658,-0.338372
3998,161.8,3.97778,5.3,17082,-19.184,-19.848,669.841,-0.342663,-16.302,-18.528,119.938,-0.258611,-14.63,-21.048,813.584,-0.26463,-18.832,-20.448,545.468,-0.406251,-19.25,-20.352,762.701,1.09226,-21.362,-18.648,735.773,-0.292848,-18.964,-16.896,283.034,-0.303177,-13.97,-19.176,797.328,-0.30459
3999,161.84,5.16227,5.3,17082,-14.08,-20.064,665.285,-0.316498,-10.978,-18.504,119.938,-0.23965,-9.328,-21.024,818.427,-0.228612,-13.772,-20.688,545.468,-0.378431,-14.322,-20.256,751.741,1.1132,-16.324,-18.72,766.119,-0.260887,-14.08,-16.704,264.333,-0.266331,-8.844,-19.08,781.212,-0.280743
4000,161.88,4.45511,5.3,17082,-8.712,-20.088,634.534,-0.297868,-5.588,-18.312,89.5094,-0.232198,-3.938,-20.712,785.334,-0.210727,-8.492,-20.544,536.56,-0.358641,-9.592,-19.92,689.114,1.12562,-11.11,-18.792,774.261,-0.238779,-8.932,-16.512,234.723,-0.240083,-3.982,-18.456,704.658,-0.263687
4001,161.92,4.02493,5.28,17082,-2.882,-19.872,596.95,-0.282716,0.176,-17.928,56.1831,-0.229051,1.474,-19.752,729.64,-0.202033,-2.596,-20.064,526.537,-0.344814,-4.378,-19.32,629.617,1.1325,-5.61,-19.056,760.938,-0.228098,-3.476,-16.56,212.906,-0.227249,0.946,-17.784,592.647,-0.250935
4002,161.96,5.06798,5.28,17082,2.948,-19.056,563.921,-0.271372,5.962,-17.088,-0.32677,-0.224911,6.864,-18.336,653.767,-0.198224,3.124,-19.224,499.811,-0.333553,1.76,-18.816,599.086,1.14392,-0.088,-19.368,705.427,-0.226194,2.464,-16.488,225.373,-0.222943,5.808,-16.608,476.607,-0.24456
4003,162,4.64369,5.26,17083,8.47,-17.928,488.753,-0.263175,11.308,-16.008,-126.387,-0.223752,12.012,-16.8,546.416,-0.196485,8.69,-18.12,426.314,-0.323865,7.59,-18.504,545.853,1.16272,5.302,-19.584,607.727,-0.226111,8.514,-15.816,208.23,-0.221122,10.846,-15.408,367.014,-0.242159
4004,162.04,3.91885,5.26,17083,13.684,-16.488,374.861,-0.25622,16.148,-14.736,-297.366,-0.224911,16.676,-15.432,394.671,-0.195243,13.838,-16.704,313.842,-0.314509,12.958,-17.784,444.083,1.17721,10.868,-19.536,494.484,-0.224124,13.904,-14.976,108.491,-0.216816,15.796,-14.328,256.615,-0.239592
4005,162.08,2.73437,5.26,17083,18.458,-14.928,248.44,-0.253736,20.526,-13.344,-479.936,-0.223338,20.9,-13.704,221.939,-0.194664,18.612,-14.832,176.87,-0.307388,17.908,-16.704,299.256,1.18242,16.72,-19.248,395.304,-0.218742,18.964,-13.824,-25.5327,-0.210937,20.35,-12.888,136.546,-0.238184
4006,162.12,1.48506,5.24,17083,22.638,-13.416,133.41,-0.254398,24.816,-11.904,-590.058,-0.217791,25.168,-12.192,86.3374,-0.192594,22.814,-12.84,17.6268,-0.303497,22.198,-15.48,128.596,1.18499,22.022,-18.24,291.683,-0.213028,23.65,-12.432,-173.583,-0.204065,24.618,-11.448,40.6522,-0.236031
4007,162.16,1.00184,5.24,17083,26.18,-12.192,59.3797,-0.254647,28.732,-10.92,-629.18,-0.210753,29.392,-11.04,20.1507,-0.189282,26.422,-10.968,-126.026,-0.300516,25.74,-14.16,9.60333,1.18648,26.532,-16.824,179.92,-0.207398,27.918,-11.28,-299.815,-0.198103,28.314,-10.512,10.0306,-0.233299
4008,162.2,-0.271042,5.22,17084,28.336,-11.352,38.8792,-0.254067,30.778,-10.632,-652.363,-0.204957,31.68,-10.512,-11.3283,-0.187791,29.26,-10.128,-151.639,-0.298777,27.676,-13.56,-31.8875,1.18748,29.854,-15.312,86.6614,-0.203672,30.646,-10.536,-351.243,-0.196199,30.646,-10.08,-11.7269,-0.230484
4009,162.24,0.707189,5.22,17084,30.602,-10.728,32.0456,-0.250424,33.066,-11.136,-652.363,-0.199989,33.99,-11.352,-26.6643,-0.185473,31.482,-9.408,-169.456,-0.296624,29.722,-13.536,-27.9733,1.19021,32.208,-13.248,46.6933,-0.202347,32.494,-10.32,-357.476,-0.193798,33.242,-9.888,-21.3969,-0.225847
4010,162.28,-0.082468,5.22,17084,31.922,-9.576,59.3797,-0.245622,34.056,-11.736,-633.527,-0.197587,35.376,-11.76,2.39331,-0.180836,33.484,-8.64,-144.957,-0.294471,31.13,-13.464,-5.27074,1.19319,34.078,-11.736,38.5516,-0.201768,34.1,-9.816,-288.906,-0.188416,33.836,-9.576,-2.86272,-0.222287
4011,162.32,1.33774,5.2,17085,32.164,-9.384,60.5186,-0.242889,33.77,-11.712,-626.282,-0.197422,35.64,-11.712,44.3654,-0.175454,33.968,-8.064,-116.004,-0.293147,31.57,-13.056,-0.573664,1.19592,35.354,-11.16,51.8743,-0.202182,33.66,-10.152,-309.165,-0.183282,33.814,-9.456,9.22476,-0.218229
4012,162.36,0.624688,5.2,17085,32.164,-9.288,58.2408,-0.24322,33.968,-10.92,-613.241,-0.198664,35.992,-11.328,38.7153,-0.173467,33.748,-8.376,-121.572,-0.293478,31.658,-12.528,13.5176,1.19667,35.574,-11.232,45.213,-0.202761,33.264,-9.528,-312.282,-0.182289,33.77,-8.736,25.3414,-0.216159
4013,162.4,0.182716,5.19,17085,32.164,-9.024,68.4911,-0.244131,33.55,-9.96,-592.956,-0.200403,36.014,-11.232,75.0373,-0.173218,33.374,-8.112,-104.868,-0.294885,31.966,-12,15.8661,1.1965,35.838,-11.16,38.5516,-0.203672,33.044,-9.216,-304.49,-0.183034,33.44,-8.808,41.458,-0.216408
4014,162.44,-0.135504,5.19,17085,31.79,-9.072,70.7689,-0.244876,32.802,-9.888,-598.751,-0.201231,36.278,-11.784,51.6298,-0.173467,32.868,-8.16,-109.323,-0.29621,31.856,-11.736,11.9519,1.19642,35.42,-11.016,48.1736,-0.203341,32.692,-8.928,-307.607,-0.185187,32.868,-9.36,27.7589,-0.217981
4015,162.48,-0.141397,5.19,17085,31.35,-9.12,63.9354,-0.245622,31.922,-9.96,-608.894,-0.201313,36.124,-11.376,47.594,-0.173384,32.098,-7.92,-120.458,-0.296624,31.79,-11.448,18.2146,1.19642,35.024,-10.92,45.9531,-0.20301,32.164,-8.928,-309.165,-0.187422,32.208,-9.144,30.1764,-0.220051
4016,162.52,-0.153183,5.27,17086,30.932,-9.144,65.0743,-0.245787,30.998,-9.984,-608.894,-0.200817,35.53,-10.728,60.5085,-0.173136,31.284,-7.464,-110.436,-0.296459,31.68,-11.448,16.6489,1.1965,34.54,-10.776,46.6933,-0.203092,31.394,-8.904,-307.607,-0.188664,31.284,-9.144,33.3997,-0.221127
4017,162.56,-0.117825,5.27,17086,30.228,-8.976,68.4911,-0.245953,29.898,-9.96,-600.2,-0.199657,34.584,-10.2,57.2799,-0.172308,30.382,-7.488,-113.777,-0.296293,31.526,-11.424,16.6489,1.197,34.034,-10.776,49.6539,-0.203341,30.404,-9.12,-307.607,-0.188913,30.272,-8.976,29.3706,-0.22121
4018,162.6,0.259324,5.38,17086,29.15,-8.976,61.6576,-0.245953,28.534,-9.936,-605.996,-0.198167,33.99,-9.72,55.6655,-0.1709,29.414,-7.488,-113.777,-0.295962,31.416,-11.472,22.1289,1.19766,33.528,-10.608,57.7955,-0.203424,29.744,-8.88,-306.048,-0.188085,29.48,-9,22.9239,-0.220879
4019,162.64,0.165037,5.38,17086,27.918,-8.904,58.2408,-0.245953,26.95,-9.96,-608.894,-0.197422,33.55,-9.36,51.6298,-0.169741,28.204,-7.296,-107.095,-0.296045,31.24,-11.52,22.1289,1.19783,32.78,-10.584,52.6145,-0.20392,28.996,-8.592,-306.048,-0.186843,28.534,-8.88,24.5356,-0.220299
4020,162.68,0.212181,5.38,17086,26.422,-8.736,60.5186,-0.24587,25.19,-9.792,-605.996,-0.196925,32.648,-8.76,49.2083,-0.168333,26.774,-7.008,-108.209,-0.296293,30.822,-11.616,17.4318,1.19791,31.812,-10.536,47.4334,-0.204169,28.116,-8.424,-302.931,-0.184938,27.368,-8.64,28.5647,-0.219637
4021,162.72,0.377183,5.41,17087,24.53,-8.688,58.2408,-0.245622,23.276,-9.6,-603.098,-0.196345,31.372,-8.016,50.8226,-0.167008,25.036,-6.888,-113.777,-0.296541,30.162,-11.784,18.2146,1.19774,30.69,-10.368,53.3546,-0.20392,26.95,-8.28,-306.048,-0.183117,26.026,-8.52,22.9239,-0.218561
4022,162.76,0.406648,5.41,17087,22.418,-8.616,55.963,-0.245539,21.164,-9.552,-605.996,-0.195766,29.81,-7.272,48.4011,-0.16618,23.254,-6.624,-113.777,-0.296873,29.106,-11.784,18.2146,1.19758,29.348,-10.272,54.0948,-0.20392,25.696,-8.136,-307.607,-0.181792,24.486,-8.256,24.5356,-0.217898
4023,162.8,0.37129,5.43,17087,20.064,-8.472,55.963,-0.245539,19.008,-9.552,-611.792,-0.195269,27.874,-6.528,43.5582,-0.165352,21.23,-6.408,-114.89,-0.297121,27.786,-11.664,15.8661,1.19741,27.896,-10.104,52.6145,-0.203755,24.222,-8.16,-309.165,-0.180881,22.682,-8.088,24.5356,-0.21707
4024,162.84,0.412541,5.43,17087,17.556,-8.256,57.1019,-0.245787,16.786,-9.6,-610.343,-0.195103,25.674,-5.976,35.4867,-0.164773,19.074,-6.264,-116.004,-0.297038,26.202,-11.256,14.3004,1.19741,26.268,-9.816,51.8743,-0.203672,22.506,-8.064,-310.724,-0.179887,20.768,-7.872,22.9239,-0.216077
4025,162.88,0.377183,5.43,17087,14.916,-8.112,57.1019,-0.246118,14.542,-9.624,-610.343,-0.1956,23.232,-5.52,32.258,-0.164607,16.742,-6.12,-121.572,-0.297121,24.398,-10.824,13.5176,1.19758,24.288,-9.384,56.3152,-0.203672,20.35,-7.92,-312.282,-0.179308,18.568,-7.704,19.7006,-0.214752
4026,162.92,0.483257,5.44,17088,12.232,-8.016,53.6851,-0.247195,12.1,-9.576,-611.792,-0.196511,20.658,-5.184,37.9081,-0.164193,14.322,-5.904,-117.118,-0.297287,22.264,-10.416,11.169,1.19783,22.088,-8.928,54.8349,-0.203589,18.062,-7.68,-313.84,-0.178894,16.28,-7.632,17.2831,-0.212351
4027,162.96,0.772012,5.44,17088,9.438,-7.872,52.5462,-0.250176,9.592,-9.552,-610.343,-0.198912,17.842,-4.872,42.7511,-0.163696,11.704,-5.736,-117.118,-0.298032,19.888,-10.032,8.82049,1.19783,19.624,-8.568,44.4728,-0.203424,15.62,-7.392,-313.84,-0.178977,13.816,-7.56,15.6714,-0.210032
4028,163,0.860406,5.44,17088,6.776,-7.608,50.2684,-0.255806,6.93,-9.648,-610.343,-0.203301,14.806,-4.56,41.9439,-0.163531,8.998,-5.712,-122.686,-0.300267,17.226,-9.744,8.03764,1.19783,16.764,-8.184,40.7721,-0.203589,12.958,-7.128,-316.957,-0.180301,11.11,-7.536,15.6714,-0.208625
4029,163.04,0.978266,5.44,17088,4.026,-7.272,52.5462,-0.264417,4.114,-9.84,-614.69,-0.210339,11.594,-4.248,39.5224,-0.164193,6.094,-5.736,-124.913,-0.304656,14.322,-9.528,7.2548,1.19741,13.574,-7.824,40.7721,-0.203755,10.12,-6.864,-316.957,-0.184193,8.36,-7.536,14.8656,-0.208293
4030,163.08,1.26113,5.44,17088,1.276,-7.08,54.824,-0.277086,1.232,-10.008,-619.037,-0.220771,8.25,-3.984,37.9081,-0.166594,3.08,-5.76,-122.686,-0.311197,11.176,-9.312,7.2548,1.196,10.054,-7.608,37.0713,-0.204169,7.172,-6.624,-318.516,-0.191397,5.5,-7.752,12.4481,-0.208956
4031,163.12,1.43792,5.46,17089,-1.628,-6.936,52.5462,-0.293728,-1.76,-10.152,-619.037,-0.234433,4.862,-3.816,36.2938,-0.173467,0,-5.88,-119.345,-0.320719,7.832,-9.072,8.82049,1.19128,6.578,-7.56,37.8115,-0.205659,4.114,-6.384,-318.516,-0.202409,2.64,-8.064,11.6423,-0.213013
4032,163.16,1.43202,5.46,17089,-4.554,-6.84,50.2684,-0.314097,-4.884,-10.224,-619.037,-0.251987,1.43,-3.744,36.2938,-0.186963,-3.124,-6,-118.231,-0.33405,4.246,-9,8.82049,1.18251,2.904,-7.488,39.2918,-0.209551,0.902,-6.216,-316.957,-0.217561,-0.33,-8.424,10.8364,-0.22328
4033,163.2,1.49095,5.47,17089,-7.59,-6.72,51.4073,-0.339103,-8.184,-10.344,-621.935,-0.273763,-1.98,-3.816,34.6795,-0.206918,-6.226,-6.144,-119.345,-0.351521,0.506,-8.976,9.60333,1.16926,-0.814,-7.464,40.0319,-0.216506,-2.376,-6.096,-315.399,-0.236854,-3.278,-8.88,10.8364,-0.238764
4034,163.24,1.32006,5.47,17089,-10.648,-6.624,52.5462,-0.368331,-11.594,-10.512,-623.384,-0.298769,-5.434,-4.08,29.8366,-0.231675,-9.372,-6.312,-120.458,-0.373959,-3.366,-9.072,7.2548,1.1498,-4.51,-7.392,40.0319,-0.228015,-5.808,-5.952,-315.399,-0.261445,-6.38,-9.312,9.22476,-0.259629
4035,163.28,1.2022,5.47,17089,-13.926,-6.576,51.4073,-0.399712,-15.136,-10.728,-624.833,-0.327418,-8.888,-4.632,24.9937,-0.2614,-12.738,-6.336,-118.231,-0.402277,-7.414,-9.192,7.2548,1.12521,-8.272,-7.44,36.3312,-0.245569,-9.196,-5.808,-316.957,-0.290177,-9.592,-9.912,6.00143,-0.285794
4036,163.32,0.954694,5.45,17090,-17.314,-6.48,46.8516,-0.433329,-18.744,-10.968,-624.833,-0.358716,-12.364,-5.4,22.5722,-0.295431,-16.214,-6.36,-117.118,-0.434569,-11.528,-9.096,9.60333,1.09548,-12.1,-7.392,39.2918,-0.269167,-12.584,-5.64,-323.191,-0.323214,-12.936,-10.512,5.1956,-0.318252
4037,163.36,0.713082,5.45,17090,-20.768,-6.408,45.7127,-0.468271,-22.396,-11.208,-624.833,-0.392913,-15.862,-6.408,20.9579,-0.332857,-19.668,-6.6,-118.231,-0.471249,-15.862,-9.312,8.03764,1.06063,-16.17,-7.272,39.2918,-0.298809,-15.95,-5.4,-326.308,-0.360309,-16.5,-11.016,1.97227,-0.354187
4038,163.4,0.477364,5.33,17091,-24.2,-6.408,42.2959,-0.505117,-26.136,-11.28,-626.282,-0.428848,-19.47,-7.464,16.9221,-0.371442,-23.144,-6.816,-118.231,-0.509172,-20.152,-9.36,1.77487,1.02179,-20.13,-7.776,40.0319,-0.333834,-19.272,-5.064,-332.541,-0.401874,-20.108,-11.568,1.16644,-0.393186
4039,163.44,0.294682,5.33,17091,-27.566,-6.456,37.7402,-0.541714,-29.722,-11.256,-627.731,-0.466605,-22.924,-8.232,16.1149,-0.411848,-26.708,-7.104,-117.118,-0.549578,-24.332,-9.216,-5.27074,0.981883,-23.826,-8.52,42.2524,-0.372667,-22.66,-4.632,-330.983,-0.447,-23.958,-12,-0.445224,-0.434751
4040,163.48,0.088428,5.33,17091,-31.042,-6.528,35.4624,-0.578146,-33.308,-11.064,-632.078,-0.505603,-26.488,-9.072,24.1865,-0.454904,-30.184,-7.416,-116.004,-0.590399,-28.446,-8.784,-13.882,0.940069,-27.852,-8.856,40.7721,-0.414564,-26.29,-4.248,-332.541,-0.494693,-27.786,-12.288,-1.25106,-0.479215
4041,163.52,-0.170862,5.32,17091,-34.474,-6.648,32.0456,-0.614661,-36.96,-10.656,-643.669,-0.547583,-29.964,-9.816,29.8366,-0.497132,-33.55,-7.704,-117.118,-0.629977,-32.56,-7.872,-17.0134,0.898338,-31.878,-8.952,38.5516,-0.458696,-30.052,-3.888,-335.658,-0.545118,-31.592,-12,-4.47438,-0.524424
4042,163.56,-0.353544,5.32,17091,-37.664,-6.408,33.1846,-0.650182,-40.194,-9.984,-661.057,-0.590225,-33.682,-9.816,24.9937,-0.539443,-36.652,-7.992,-120.458,-0.66881,-36.234,-6.936,-27.1904,0.857103,-35.728,-9,32.6304,-0.504319,-33.814,-3.24,-337.217,-0.597117,-35.222,-11.376,-1.25106,-0.571123
4043,163.6,-0.88391,5.32,17092,-40.942,-6.168,34.3235,-0.683965,-43.274,-9.312,-656.71,-0.633695,-37.114,-10.008,37.101,-0.580677,-39.666,-8.064,-127.14,-0.704663,-39.49,-5.544,-23.2762,0.816117,-39.556,-8.496,20.0479,-0.551515,-37.686,-2.712,-338.775,-0.649529,-38.94,-10.728,1.97227,-0.617077
4044,163.64,-1.7325,5.32,17092,-44.11,-5.688,26.351,-0.714352,-46.266,-8.616,-645.118,-0.677082,-40.348,-9.504,35.4867,-0.618268,-42.46,-7.32,-134.935,-0.737286,-42.746,-4.176,-9.96782,0.776953,-42.658,-7.776,11.9062,-0.598959,-41.096,-2.064,-343.45,-0.700617,-42.284,-10.224,-6.89188,-0.661375
4045,163.68,-2.58108,5.32,17092,-46.794,-5.232,26.351,-0.741345,-48.972,-7.944,-630.629,-0.717075,-43.56,-9.072,32.258,-0.651057,-44.44,-5.88,-132.708,-0.764693,-45.54,-3.408,-5.27074,0.742508,-45.958,-6.84,17.8274,-0.642678,-44.286,-0.984,-332.541,-0.747399,-45.276,-9.624,4.38977,-0.702361
4046,163.72,-3.78914,5.33,17092,-49.39,-4.416,32.0456,-0.762128,-51.81,-8.112,-620.486,-0.749781,-46.684,-8.712,33.0652,-0.678298,-46.662,-5.712,-147.185,-0.787049,-48.312,-3.552,-0.573664,0.716178,-48.752,-6.72,30.41,-0.68118,-47.322,-0.768,-323.191,-0.786729,-48.114,-8.736,19.7006,-0.739455
4047,163.76,-4.38433,5.33,17092,-51.876,-4.296,47.9905,-0.774134,-54.12,-8.664,-600.2,-0.772302,-49.368,-8.064,34.6795,-0.696018,-49.126,-5.424,-132.708,-0.802284,-50.974,-4.056,19.7803,0.69879,-51.612,-6.744,48.9137,-0.712312,-50.644,-0.768,-316.957,-0.81604,-50.094,-8.28,28.5647,-0.766945
4048,163.8,-4.45505,5.33,17093,-54.098,-4.944,67.3522,-0.776949,-55.99,-9.792,-588.609,-0.783315,-51.106,-7.416,57.2799,-0.703552,-51.084,-5.808,-110.436,-0.809073,-53.02,-4.512,29.9573,0.690924,-54.032,-6.504,61.4963,-0.734006,-53.24,-1.728,-279.555,-0.832434,-51.48,-8.016,57.5747,-0.784913
4049,163.84,-4.33719,5.33,17093,-55.616,-6.024,88.9916,-0.771319,-56.804,-11.352,-575.568,-0.782487,-52.052,-6.48,69.3872,-0.7014,-52.382,-6.504,-90.3915,-0.809073,-53.988,-5.28,33.0887,0.692248,-55.484,-7.176,67.4175,-0.745267,-54.648,-3.048,-254.62,-0.83674,-52.558,-8.208,72.8855,-0.791951
4050,163.88,-3.98361,5.33,17093,-56.474,-7.488,99.2419,-0.758485,-56.65,-13.08,-537.895,-0.771557,-52.184,-6,103.288,-0.688566,-52.756,-7.848,-81.4828,-0.802863,-54.45,-6.408,60.4883,0.703344,-56.298,-8.448,97.0235,-0.747006,-55.22,-4.704,-234.361,-0.830778,-52.932,-8.904,55.1572,-0.789301
4051,163.92,-5.55114,5.33,17093,-56.43,-9.36,53.6851,-0.738282,-56.012,-14.664,-566.874,-0.751354,-51.546,-6.816,79.8802,-0.666375,-52.954,-9.528,-70.3469,-0.789698,-54.252,-8.064,59.7055,0.722884,-56.54,-9.912,109.606,-0.739057,-55.286,-6.72,-287.347,-0.813639,-52.514,-9.984,59.9922,-0.775556
4052,163.96,-5.54524,5.33,17093,-54.45,-10.632,73.0468,-0.710212,-53.57,-15.816,-552.384,-0.719559,-49.764,-7.872,96.8304,-0.634083,-52.492,-11.832,-58.0974,-0.767342,-52.272,-9.912,45.6143,0.753024,-55.704,-11.712,104.425,-0.717529,-53.416,-8.304,-274.88,-0.782837,-51.15,-11.52,84.1671,-0.750137
4053,164,-4.45505,5.33,17094,-51.744,-11.544,155.049,-0.674029,-50.512,-16.608,-455.303,-0.676337,-46.948,-9.48,128.309,-0.593014,-50.468,-13.752,-46.9615,-0.734802,-49.214,-11.184,129.379,0.794092,-53.46,-13.368,128.11,-0.682836,-50.358,-9.384,-200.076,-0.737463,-48.62,-13.296,127.682,-0.712297
4054,164.04,-1.30231,5.33,17094,-47.366,-12.936,243.885,-0.630476,-47.058,-17.496,-313.304,-0.623593,-43.45,-11.688,234.047,-0.545984,-47.344,-15.384,97.8052,-0.693319,-45.826,-12.552,270.291,0.842862,-50.534,-14.952,246.534,-0.638289,-46.288,-10.776,-90.9864,-0.678095,-45.232,-15.24,261.45,-0.665267
4055,164.08,0.777905,5.33,17094,-43.362,-13.944,391.944,-0.58179,-43.45,-18.456,-201.734,-0.56406,-39.622,-14.064,402.742,-0.498622,-43.736,-16.92,284.888,-0.647696,-42.196,-14.088,411.986,0.893204,-47.036,-16.248,413.068,-0.588775,-42.416,-12.192,75.7646,-0.609951,-41.514,-17.304,450.015,-0.613268
4056,164.12,3.73617,5.32,17094,-39.82,-15.144,497.864,-0.532524,-39.732,-18.984,-111.897,-0.503037,-35.53,-16.368,548.837,-0.45449,-40.128,-18.096,424.087,-0.601742,-38.5,-15.84,526.282,0.941476,-43.648,-17.136,538.153,-0.53777,-38.5,-13.728,217.581,-0.541309,-37.51,-18.768,607.958,-0.560442
4057,164.16,2.54579,5.32,17094,-35.97,-16.2,553.671,-0.488722,-35.838,-19.104,-45.2448,-0.447561,-31.614,-18.024,638.431,-0.416485,-36.366,-18.888,504.266,-0.558355,-34.54,-17.232,616.309,0.984036,-40.062,-17.568,611.428,-0.489001,-34.54,-14.952,286.151,-0.479706,-33.704,-19.368,711.91,-0.508775
4058,164.2,1.69131,5.23,17095,-32.12,-17.16,583.283,-0.449724,-31.702,-19.128,5.46911,-0.397218,-27.368,-19.56,698.161,-0.381378,-32.538,-19.512,546.582,-0.516624,-30.338,-18.528,680.502,1.02138,-36.344,-17.808,658.797,-0.44255,-30.558,-15.768,311.086,-0.426714,-29.634,-19.68,771.542,-0.459591
